country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
United Kingdom,2021-10-18,NA,estimate,0.969847786236569,0.96927235329316,0.0249102804496499,0.928006926374676,0.952464672601529,0.963854063471387,0.975911366081652,0.985498746125186,1.00921029538375
United Kingdom,2021-10-19,NA,estimate,0.950745757073811,0.950131418858406,0.0247021391512044,0.908845751934206,0.933850344738174,0.94440871142234,0.956993690475648,0.966549672832793,0.989129496543142
United Kingdom,2021-10-20,NA,estimate,0.933390110221672,0.932828259263425,0.0245081555838481,0.891897072198156,0.916709906665459,0.927346665115395,0.939259468497065,0.948937419246207,0.971954159849929
United Kingdom,2021-10-21,NA,estimate,0.918365440556677,0.91777474070355,0.0244326311302132,0.877488307619941,0.901641744819579,0.912409326820762,0.924278983937944,0.934129555498053,0.95688725203774
United Kingdom,2021-10-22,NA,estimate,0.905844955415292,0.905301876692598,0.0245652273082773,0.864376702281314,0.889320570951536,0.899851961430998,0.911924263935118,0.921789433437826,0.944382447973684
United Kingdom,2021-10-23,NA,estimate,0.896258773552717,0.895669444251684,0.0248931603770022,0.853607493381603,0.87969533145402,0.8899628966967,0.902070030097963,0.91272238435542,0.936153447702147
United Kingdom,2021-10-24,NA,estimate,0.889687326770114,0.889076633699973,0.0252893078263972,0.846448088101168,0.873264259888827,0.883425184533426,0.895895715242725,0.905898876851997,0.929992315630103
United Kingdom,2021-10-25,NA,estimate,0.88632564066115,0.885671854727534,0.0255817565043128,0.842226983818643,0.869469279160353,0.879979277329664,0.89249207723819,0.902487195956812,0.926545438965312
United Kingdom,2021-10-26,NA,estimate,0.886534061195466,0.885558850208119,0.0256483564528078,0.8423235633879,0.869391966829873,0.880245241993538,0.892825505357001,0.902618129666096,0.926105966364616
United Kingdom,2021-10-27,NA,estimate,0.889590483889238,0.88879614278654,0.0254767716675268,0.845960680685143,0.872504026660435,0.88295908395501,0.89600302346413,0.905770892229367,0.92975347612664
United Kingdom,2021-10-28,NA,estimate,0.896217195655731,0.895388041954723,0.0251640063879165,0.85296479796034,0.878660144889488,0.889522679912862,0.902136791238585,0.91242807898298794,0.935876005937528
United Kingdom,2021-10-29,NA,estimate,0.905915603647799,0.90526764466498,0.0248605227332786,0.863014650449464,0.889164618166918,0.899534668425666,0.912136996591683,0.922126292831193,0.944798591064737
United Kingdom,2021-10-30,NA,estimate,0.918880739859268,0.918274553684861,0.0246900410370723,0.876222315736685,0.902628321642688,0.912847053192663,0.924983518737375,0.93473349854952,0.957306481005899
